"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"2";"0.1uF/16V";"CAPACITOR-0805";"C0805";"C7, C10";"Capacitors";"";"";"";"";"";"";"";"";"";
"4";"0.43R";"RESISTOR0805";"0805";"R6, R7, R8, R9";"Generic Resistor Package";"";"";"";"";"";" ";"";"";" ";
"3";"1.0uF";"CAPACITOR-0805";"C0805";"C1, C2, C4";"Capacitors";"";"";"";"";"";"";"";"";"";
"1";"100uF/6.3V";"CAPACITOR-1206";"C1206";"C3";"Capacitors";"";"";"";"";"";"";"";"";"";
"2";"10k";"4R-NEXBS8V";"EXBS8V";"RN8, RN9";"Array Chip Resistor";"";"";"";"unknown";"unknown";"";"";"";"";
"2";"10k";"RESISTOR0805";"0805";"R4, R5";"Generic Resistor Package";"";"";"";"";"";" ";"";"";" ";
"1";"10uF";"CAPACITOR-0805";"C0805";"C5";"Capacitors";"";"";"";"";"";"";"";"";"";
"2";"10uF/16V";"CAPACITOR-1206";"C1206";"C6, C9";"Capacitors";"";"";"";"";"";"";"";"";"";
"1";"10uF/25V";"CAPACITOR_POLPANASONIC_D";"PANASONIC_D";"C12";"Polarized Capacitors";"";"";"";"";"";"";"";"";"";
"7";"1k";"4R-NEXBS8V";"EXBS8V";"RN1, RN2, RN3, RN4, RN5, RN6, RN7";"Array Chip Resistor";"";"";"";"unknown";"unknown";"";"";"";"";
"2";"1x2M";"CONN_02LOCK_LONGPADS";"1X02_LOCK_LONGPADS";"J2, J17";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"4";"1x8F";"CONN_08FEMALE_LOCK";"1X08_FEMALE_LOCK";"J3, J4, J15, J16";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"CONN-09233";"PRT-09279";"";"";
"2";"1x8M";"CONN_08LOCK";"1X08_LOCK";"J5, J14";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"2";"2.2uF/16V";"CAPACITOR-1206";"C1206";"C8, C11";"Capacitors";"";"";"";"";"";"";"";"";"";
"1";"2.5A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"Q1";"P-channel MOSFETs";"";"";"";"";"";"TRANS-11308";"";"";"2.5A/30V/105mΩ";
"1";"220R";"RESISTOR0805";"0805";"R2";"Generic Resistor Package";"";"";"";"";"";" ";"";"";" ";
"1";"22R";"RESISTOR0805";"0805";"R3";"Generic Resistor Package";"";"";"";"";"";" ";"";"";" ";
"1";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"U4";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"";"VREG-12457";"";"";"3.3V";
"1";"3A/40V/500mV";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"D2";"Schottky diode";"";"";"";"";"";"DIO-09886";"";"";"3A/40V/500mV";
"1";"51R";"RESISTOR0805";"0805";"R1";"Generic Resistor Package";"";"";"";"";"";" ";"";"";" ";
"1";"8V/2.2A";"PPTC_HALF-AMP";"1206";"F1";"Resettable Fuse PPTC";"";"";"";"";"";"RES-08585";"";"";"6V/0.5A";
"1";"BSS138PS";"BSS138PS";"SOT363";"T1";"Dual N-Channel MOSFET";"";"";"";"";"";"";"";"";"";
"17";"Blue";"LED0805-NO_OUTLINE";"CHIPLED_0805_NOOUTLINE";"D4, D5, D6, D7, D8, D9, D10, D11, D12, D21, D22, D23, D24, D25, D26, D27, D28";"LED (Generic)";"";"";"";"";"";"";"";"";"";
"2";"DRV8833C";"DRV8833";"HTSSOP16";"U2, U3";"DRV8833 Dual H-Bridge Motor Driver -- HTSSOP Package";"";"";"";"";"";"";"";"";"";
"1";"ESP12";"ESP-12";"ESP-12";"X1";"";"";"";"";"";"";"";"";"";"";
"3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"FD1, FD2, FD3";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"4";"MJ-2509N";"MJ-2509N";"MJ-2509N";"J10, J11, J12, J13";"Mono Audio Jack, 2.5 MM";"";"";"";"";"";"";"";"";"";
"3";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"FLASH, RESET, S1";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";" SWCH-08441";"";"COM-00097";"";
"1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"LOGO1";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";"";"";
"1";"PCA9634PW";"PCA9634";"TSSOP20";"U1";"";"";"";"";"";"";"";"";"";"";
"1";"RGB";"LED-RGB-CAPLCC";"P-LCC-4-3";"D1";"LED-RGB Diffused Common Anode";"";"";"";"";"";"DIO-12986";"";"";"RGB";
"8";"Red";"LED0805-NO_OUTLINE";"CHIPLED_0805_NOOUTLINE";"D13, D14, D15, D16, D17, D18, D19, D20";"LED (Generic)";"";"";"";"";"";"";"";"";"";
"4";"USB-A-HU";"USB-A-HU";"USB-A-HU";"J6, J7, J8, J9";"USB Connectors";"";"";"";"";"";"";"";"";"";
"1";"USB-MICROB-2";"USB-MICROB-2";"USB-MICROB-10118194";"J1";"USB Connectors";"609-4618-6-ND ";"";"";"";"";"";"";"";"";
