Designator,Manufacturer Part Number,Quantity
"C1,C2,C4",CL31B105KOFNNNE,3
C12,EEE-1AA101SP,1
"C3,C5,C6,C9",CL31F106ZOHNNNE,4
"C7,C10",C1206C104K4RACTU,2
"C8,C11",GRM31MR71C225KA35L,2
D1,150141M173100,1
"D13,D14,D15,D16,D17,D18,D19,D20",150080RS75000,8
D2,B340A-13-F,1
"D4,D5,D6,D7,D8,D9,D10,D11,D12,D21,D22,D23,D24,D25,D26,D27,D28",150080BS75000,17
F1,0ZCJ0110FF2E,1
J1,10118194-0001LF,1
"J10,J11,J12,J13",MJ-2509N,4
"J6,J7,J8,J9",USB-A1SSW6,4
Q1,DMG2307L-7,1
R1,ERJ-6GEYJ510V,1
R2,ERJ-6GEYJ221V,1
R3,ERJ-6ENF22R0V,1
"R4,R5",ERJ-6GEYJ103V,2
"R6,R7,R8,R9",EXB-N8V103JX,4
"RN1,RN2,RN3,RN4,RN5,RN6,RN7",EXB-28V102JX,7
"RN8,RN9",EXB-28V103JX,2
T1,"PMGD280UN,115",1
U1,"PCA9634D,118",1
"U2,U3",DRV8833CPWPR,2
U4,AP2112K-3.3TRG1,1
